date,count
2025-08-20 13:36:27.699043,1
2025-08-20 13:36:27.699046,1
2025-08-20 13:36:27.699046,1
2025-08-20 13:36:27.699047,1
2025-08-20 13:36:27.699047,1
2025-08-20 13:36:27.699048,1
2025-08-20 13:36:27.699048,1
2025-08-20 13:36:27.699049,1
2025-08-20 13:36:27.699049,1
2025-08-20 13:36:27.699049,1
2025-08-20 13:36:27.699050,1
2025-08-20 13:36:27.699050,1
2025-08-20 13:36:27.699050,1
2025-08-20 13:36:27.699051,1
2025-08-20 13:36:27.699051,1
2025-08-20 13:36:27.699052,1
2025-08-20 13:36:27.699052,1
2025-08-20 13:36:27.699052,1
2025-08-20 13:36:27.699053,1
2025-08-20 13:36:27.699053,1
2025-08-20 13:36:27.699053,1
2025-08-20 13:36:27.699054,1
2025-08-20 13:36:27.699054,1
2025-08-20 13:36:27.699055,1
2025-08-20 13:36:27.699055,1
2025-08-20 13:36:27.699056,1
2025-08-20 13:36:27.699056,1
2025-08-20 13:36:27.699056,1
2025-08-20 13:36:27.699057,1
2025-08-20 13:36:27.699057,1
2025-08-20 13:36:27.699057,1
2025-08-20 13:36:27.699057,1
2025-08-20 13:36:27.699058,1
2025-08-20 13:36:27.699058,1
2025-08-20 13:36:27.699058,1
2025-08-20 13:36:27.699059,1
2025-08-20 13:36:27.699059,1
2025-08-20 13:36:27.699059,1
2025-08-20 13:36:27.699060,1
2025-08-20 13:36:27.699060,1
2025-08-20 13:36:27.699060,1
2025-08-20 13:36:27.699061,1
2025-08-20 13:36:27.699061,1
2025-08-20 13:36:27.699061,1
2025-08-20 13:36:27.699062,1
2025-08-20 13:36:27.699062,1
2025-08-20 13:36:27.699062,1
2025-08-20 13:36:27.699062,1
2025-08-20 13:36:27.699063,1
2025-08-20 13:36:27.699063,1
2025-08-20 13:36:27.699063,1
2025-08-20 13:36:27.699064,1
2025-08-20 13:36:27.699064,1
2025-08-20 13:36:27.699064,1
2025-08-20 13:36:27.699065,1
2025-08-20 13:36:27.699065,1
2025-08-20 13:36:27.699065,1
2025-08-20 13:36:27.699066,1
2025-08-20 13:36:27.699066,1
2025-08-20 13:36:27.699066,1
2025-08-20 13:36:27.699067,1
2025-08-20 13:36:27.699067,1
2025-08-20 13:36:27.699067,1
2025-08-20 13:36:27.699068,1
2025-08-20 13:36:27.699068,1
2025-08-20 13:36:27.699069,1
2025-08-20 13:36:27.699069,1
2025-08-20 13:36:27.699070,1
2025-08-20 13:36:27.699070,1
2025-08-20 13:36:27.699070,1
2025-08-20 13:36:27.699071,1
2025-08-20 13:36:27.699071,1
2025-08-20 13:36:27.699071,1
2025-08-20 13:36:27.699071,1
2025-08-20 13:36:27.699072,1
2025-08-20 13:36:27.699072,1
2025-08-20 13:36:27.699072,1
2025-08-20 13:36:27.699073,1
2025-08-20 13:36:27.699073,1
2025-08-20 13:36:27.699074,1
2025-08-20 13:36:27.699074,1
2025-08-20 13:36:27.699074,1
2025-08-20 13:36:27.699074,1
2025-08-20 13:36:27.699075,1
2025-08-20 13:36:27.699075,1
2025-08-20 13:36:27.699075,1
2025-08-20 13:36:27.699076,1
2025-08-20 13:36:27.699076,1
2025-08-20 13:36:27.699076,1
2025-08-20 13:36:27.699077,1
2025-08-20 13:36:27.699082,1
2025-08-20 13:36:27.699083,1
2025-08-20 13:36:27.699091,1
2025-08-20 13:36:27.699092,1
2025-08-20 13:36:27.699092,1
2025-08-20 13:36:27.699092,1
2025-08-20 13:36:27.699093,1
2025-08-20 13:36:27.699093,1
2025-08-20 13:36:27.699093,1
2025-08-20 13:36:27.699094,1
