date,count
2018-03-16 09:00:55+00:00,1
2018-03-20 06:35:30+00:00,1
2018-03-21 17:57:27+00:00,1
2018-04-28 16:18:09+00:00,1
2018-04-28 16:30:51+00:00,1
2018-04-29 02:28:30+00:00,1
2018-04-30 07:48:35+00:00,1
2018-05-01 12:29:32+00:00,1
2018-05-29 16:48:44+00:00,1
2018-06-08 13:49:32+00:00,1
2018-06-08 13:52:44+00:00,1
2018-06-08 21:45:30+00:00,1
2018-06-09 11:45:29+00:00,1
2018-06-09 11:58:15+00:00,1
2018-06-09 22:50:50+00:00,1
2018-06-10 15:56:08+00:00,1
2018-06-10 17:25:34+00:00,1
2018-06-11 15:30:13+00:00,1
2018-06-15 06:00:18+00:00,1
2018-06-15 16:48:46+00:00,1
2018-06-17 13:37:50+00:00,1
2018-06-28 15:29:44+00:00,1
2018-06-29 14:01:49+00:00,1
2018-06-29 14:02:13+00:00,1
2018-07-14 12:42:17+00:00,1
2018-08-13 15:03:53+00:00,1
2018-08-20 13:41:54+00:00,1
2018-08-22 08:01:42+00:00,1
2018-08-23 16:56:08+00:00,1
2018-08-27 05:55:02+00:00,1
2018-08-30 10:16:34+00:00,1
2018-08-30 10:31:00+00:00,1
2018-08-30 10:31:30+00:00,1
2018-08-30 10:32:22+00:00,1
2018-08-30 13:41:28+00:00,1
2018-09-07 08:07:41+00:00,1
2018-09-12 16:18:51+00:00,1
2018-09-14 10:12:56+00:00,1
2018-09-14 12:36:56+00:00,1
2018-09-14 12:40:16+00:00,1
2018-09-14 13:08:53+00:00,1
2018-09-14 16:15:43+00:00,1
2018-09-14 23:34:39+00:00,1
2018-09-15 01:23:59+00:00,1
2018-09-15 08:27:10+00:00,1
2018-09-15 11:26:50+00:00,1
2018-09-15 23:17:54+00:00,1
2018-09-17 03:36:43+00:00,1
2018-09-17 03:37:21+00:00,1
2018-09-17 06:19:07+00:00,1
2018-09-19 12:31:29+00:00,1
2018-10-04 11:06:00+00:00,1
2018-10-08 22:13:27+00:00,1
2018-11-05 09:45:03+00:00,1
2018-11-08 13:52:13+00:00,1
2018-11-08 17:06:21+00:00,1
2018-11-15 00:09:42+00:00,1
2018-11-15 15:48:59+00:00,1
2018-11-18 21:50:49+00:00,1
2018-11-20 07:44:57+00:00,1
2018-11-20 09:10:55+00:00,1
2018-11-20 13:38:56+00:00,1
2018-11-20 14:40:09+00:00,1
2018-11-20 15:04:12+00:00,1
2018-11-20 16:59:36+00:00,1
2018-11-20 19:17:28+00:00,1
2018-11-21 07:02:42+00:00,1
2018-11-21 11:41:27+00:00,1
2018-11-21 20:51:36+00:00,1
2018-11-22 07:23:27+00:00,1
2018-11-23 10:01:59+00:00,1
2018-11-23 18:28:20+00:00,1
2018-11-24 18:39:55+00:00,1
2018-11-26 14:31:34+00:00,1
2018-11-26 16:11:53+00:00,1
2018-12-05 22:02:02+00:00,1
2018-12-19 07:22:32+00:00,1
2018-12-20 17:46:43+00:00,1
2018-12-20 22:17:42+00:00,1
2018-12-22 23:59:30+00:00,1
2018-12-23 05:04:48+00:00,1
2018-12-23 10:19:46+00:00,1
2018-12-24 20:23:20+00:00,1
2018-12-26 04:54:06+00:00,1
2018-12-27 10:42:27+00:00,1
2019-01-01 23:10:15+00:00,1
2019-01-03 22:07:22+00:00,1
2019-01-07 10:19:50+00:00,1
2019-01-09 23:07:46+00:00,1
2019-01-13 00:29:15+00:00,1
2019-03-01 15:31:34+00:00,1
2019-03-25 11:36:32+00:00,1
2019-04-05 13:33:34+00:00,1
2019-04-08 09:43:25+00:00,1
2019-04-10 09:40:15+00:00,1
2019-04-11 14:06:01+00:00,1
2019-04-14 11:24:53+00:00,1
2019-04-15 14:16:25+00:00,1
2019-04-27 22:05:38+00:00,1
2019-05-04 04:49:25+00:00,1
